名,簡介,出現場景,出現場景
石棺,棺材的蓋子十分重，無法推開。棺材的蓋子上有一個空槽，原本應該放有方型寶石。棺材兩側寫有古埃及文,石棺室-2,石棺室
巨型寶箱（不能帶走）,閉上的寶箱。打開寶箱後，裏面沒有任何寶物。打開和關閉寶箱都可以聽到某個機關啟動。,藏寶室-1,藏寶室
石棺室的窗口（不可偷藏）,連著【通道盡頭】和【石棺室】的細小窗口，大小足夠一隻手穿過,通道盡頭-1,通道盡頭
嘔吐物,嘔吐物的痕跡,通風室-2,通風室
煙灰缸（碗）,裏面裝著一堆煙灰，,通風室-1,通風室
地面的血跡（不可偷藏）,地面上有一大灘血跡，應該是由一個方向噴射而出,通風室-2,通風室
雪茄,價錢昂貴的雪茄，茄衣有一些鬆散的感覺,通風室-3,通風室
報章：【天馬汽車】公司全面停止製車,【2019年6月】，【天馬汽車】公司被即日起全部工廠停產汽車，改為藥品廠商,零散線索-1,零散線索
旅館的回憶,位於古墓附近的休息處，如果有車輛進入應該會聽到車聲,零散線索-2,零散線索
十字弓的回憶,旅館內有不同的武器設有十字弓,零散線索-3,零散線索
